year,name,gender,count,country
2007,Emma,F,18890,USA
2007,Isabella,F,18587,USA
2007,Emily,F,17219,USA
2007,Ava,F,16026,USA
2007,Madison,F,15283,USA
2007,Sophia,F,14994,USA
2007,Olivia,F,14692,USA
2007,Abigail,F,14289,USA
2007,Hannah,F,14212,USA
2007,Elizabeth,F,12921,USA
2007,Jacob,M,24292,USA
2007,Michael,M,22139,USA
2007,Ethan,M,21002,USA
2007,Joshua,M,20379,USA
2007,Daniel,M,19099,USA
2007,Christopher,M,18345,USA
2007,Anthony,M,17976,USA
2007,William,M,17658,USA
2007,Matthew,M,17554,USA
2007,Andrew,M,16920,USA
2008,Emma,F,18890,USA
2008,Isabella,F,22269,USA
2008,Emily,F,16019,USA
2008,Ava,F,15636,USA
2008,Madison,F,14564,USA
2008,Sophia,F,15902,USA
2008,Olivia,F,14354,USA
2008,Abigail,F,14063,USA
2008,Hannah,F,13774,USA
2008,Elizabeth,F,12585,USA
2008,Jacob,M,22272,USA
2008,Michael,M,21302,USA
2008,Ethan,M,21107,USA
2008,Joshua,M,18956,USA
2008,Daniel,M,18729,USA
2008,Christopher,M,17040,USA
2008,Anthony,M,17238,USA
2008,William,M,17149,USA
2008,Matthew,M,16871,USA
2008,Andrew,M,16147,USA
2009,Isabella,F,22269,USA
2009,Emma,F,17345,USA
2009,Olivia,F,15428,USA
2009,Sophia,F,16012,USA
2009,Ava,F,15174,USA
2009,Emily,F,14680,USA
2009,Madison,F,13891,USA
2009,Abigail,F,13400,USA
2009,Chloe,F,13272,USA
2009,Mia,F,12534,USA
2009,Jacob,M,21200,USA
2009,Ethan,M,20542,USA
2009,Michael,M,20365,USA
2009,Alexander,M,18222,USA
2009,William,M,17899,USA
2009,Joshua,M,18025,USA
2009,Daniel,M,18151,USA
2009,Jayden,M,17437,USA
2009,Noah,M,17069,USA
2009,Anthony,M,16382,USA
